auc,S.P,TPR,FPR,GAP
0.740895410082769,0.03772256728778467,0.021428571428571463,0.013333333333333308,0.017380952380952386
0.7188909662867996,0.3300618732664818,0.2917960088691796,0.235978835978836,0.2638874224240078
0.7197609146182458,0.26360248447204976,0.3101604278074866,0.10205128205128206,0.20610585492938432
0.7315865177869716,0.17234848484848486,0.07962328767123283,0.17440841367221738,0.1270158506717251
0.733922962473136,0.3181545115943771,0.5052307692307692,0.08882783882783879,0.29702930402930394
0.7338280159263665,0.25840620766104205,0.30174656261612776,0.1835616438356164,0.24265410322587208
0.7092683496961197,0.3687770562770563,0.33125360194442355,0.2981668430234221,0.31471022248392283
0.7277422484737743,0.26261781696564307,0.23162672187276057,0.15572757082191047,0.19367714634733552
0.7231697116442879,0.2805354032062449,0.2946127946127946,0.17863272311212813,0.23662275886246137
0.6960664216687085,0.32944681477122256,0.3933438398071753,0.18593272171253822,0.28963828075985676
0.723959525360469,0.43004526091586803,0.4942475603492553,0.25883948464593626,0.3765435224975958
0.7102832000590962,0.3535191139692747,0.4078546601211166,0.19099077221952407,0.29942271617032035
0.7322164085695988,0.2184773952602817,0.24122242252553872,0.11366627951993807,0.1774443510227384
0.6744756475225225,0.36674404589183274,0.3958333333333333,0.2992134585973345,0.3475233959653339
0.7107028133128261,0.32199231081799146,0.33123074278308934,0.2511712749615975,0.29120100887234346
0.7231394359135798,0.4148315181755665,0.39968479117415295,0.3282312925170068,0.3639580418455799
0.741947862505019,0.4011340533079664,0.3907407407407408,0.2834941050375134,0.33711742288912705
0.6836916489505045,0.3306271661206856,0.2699061599925672,0.27464788732394363,0.2722770236582554
0.6924991473502111,0.37060417503010845,0.35696984019141587,0.31192702325299004,0.33444843172220295
0.6878684423077626,0.32196969696969696,0.3129277801844174,0.2570300332339992,0.28497890670920834
0.7212138383447713,0.27875800303928655,0.21614084654423693,0.2877691222474391,0.251954984395838
0.702264124556293,0.24317444581098413,0.20724838584791383,0.21304347826086956,0.2101459320543917
0.705319502116223,0.2501368014008464,0.2621874074672265,0.2111809374181723,0.2366841724426994
0.7158827839877515,0.27058508501807466,0.2795351707116413,0.24568081148971255,0.2626079911006769
0.6947238591518687,0.2952491430893349,0.39697404672053344,0.1692067916498074,0.2830904191851704
0.7100452391719287,0.2933052187664734,0.3336325627151992,0.18840180360721442,0.2610171831612068
0.666492572357947,0.23479367167485976,0.250494071146245,0.13585297350103798,0.1931735223236415
0.6522473218444341,0.1427206151999733,0.10284267912772588,0.24883677647496744,0.17583972780134666
0.7163882303827287,0.26328052190121154,0.24618794326241134,0.28213414232012135,0.26416104279126634
0.719502989080705,0.2771211540278172,0.2939587940868351,0.14668133480014672,0.22032006444349092
0.7058359213250517,0.28263713189101736,0.26731665505973107,0.21885841363973316,0.24308753434973213
0.6617230655110249,0.33224014610407415,0.337674983221415,0.24416475972540044,0.2909198714734077
0.6691515154454496,0.3537531512194384,0.3725581395348837,0.23624108982879982,0.30439961468184173
0.6651624859117391,0.3465254441170296,0.34949151454877936,0.2713510425592688,0.31042127855402407
0.650499904281911,0.317177124659684,0.33342603126448406,0.23895402082739464,0.28619002604593935
0.6377323780295558,0.35375780065660367,0.38097405916554855,0.2934187620021895,0.33719641058386907
0.6451533485196728,0.3016583729327293,0.38013505244286033,0.22930422957760305,0.3047196410102317
0.6423937366141657,0.3015483499164962,0.3556504557333163,0.2375131071760866,0.29658178145470143
0.6192830759340932,0.28817239858906524,0.317974853378123,0.24960327551645217,0.2837890644472876
0.627169425766634,0.34768356175145154,0.36475409836065575,0.3060685583073643,0.33541132833401
0.657101697125779,0.3532899963885879,0.32789278131634825,0.31522809123649465,0.32156043627642145
0.6694130608956856,0.31426552550931286,0.3521046094840956,0.20725327838298546,0.27967894393354054
0.6725248339069112,0.32797650761396163,0.34015819683606324,0.23339598997493732,0.2867770934055003
0.6718933007272025,0.33570068948878873,0.31857200311690925,0.257446041018428,0.28800902206766865
0.6787063621948008,0.3268366472672514,0.3059117463350113,0.23336074512397875,0.269636245729495
0.6853754450708187,0.3300983814662012,0.3286697015300665,0.2234207816236407,0.2760452415768536
0.6635616865409393,0.28715735271846127,0.2891363375098986,0.20105239587998214,0.24509436669494036
0.636308117562002,0.30789406671759617,0.269694001329767,0.2851326198231736,0.27741331057647034
0.6342519660685639,0.3184183196116383,0.25750706231176895,0.3110142954390742,0.2842606788754216
0.6388514020092968,0.3551677253290156,0.354096685458761,0.3081340793903018,0.3311153824245314
0.6104161225501431,0.3432382742761205,0.35284265947057797,0.3042944785276074,0.3285685689990927
0.5986528581083597,0.33184712771308444,0.33398830199928947,0.31135195408027505,0.32267012803978223
0.6522807650525659,0.3321868730295214,0.33128066860356564,0.29396294551734964,0.3126218070604576
0.6726307821528977,0.31253199311275537,0.3273885851222554,0.22000874992961073,0.2736986675259331
