auc,S.P,TPR,FPR,GAP
0.7076968474218033,0.010931677018633512,0.10363636363636364,0.04871794871794871,0.07617715617715617
0.748194611266812,0.006439393939393856,0.12979452054794516,0.004820333041191949,0.06730742679456855
0.7335510001653165,0.1809443710200649,0.39230769230769225,0.09157509157509158,0.24194139194139191
0.7733853870417291,0.03731986697869194,0.03697510219249345,0.01712328767123289,0.02704919493186317
0.7257075556514547,0.15286796536796532,0.12320529203938968,0.06305945605856955,0.09313237404897962
0.747958540489242,0.08307996351474611,0.041364758340632246,0.039025963554265464,0.040195360947448855
0.7542416905128769,0.07113718053319806,0.02020202020202022,0.024599542334096114,0.022400781268058167
0.7513421956051601,0.01599970575253784,0.019004357096505053,0.13027522935779817,0.07463979322715161
0.7714850970933611,0.15258919062832804,0.1858500256805341,0.007071587716748984,0.09646080669864154
0.7530263716781473,0.09074669524830292,0.18747984376679683,0.1510441962117533,0.16926201998927506
0.8000469377656169,0.10089979587540165,0.10430079835178996,0.010917537746806039,0.057609168049298
0.7485817849099099,0.14324457043369565,0.1504629629629629,0.1185274197072318,0.13449519133509735
0.6930203665378879,0.002348169912168241,0.0030018116660716077,0.05723886328725036,0.030120337476660985
0.7619538983525131,0.0910617473492299,0.060677698975571404,0.0003401360544217358,0.03050891751499657
0.773897198969245,0.012142577359968598,0.09074074074074068,0.22731332618792421,0.15902703346433245
0.7321181543252387,0.1189051891943218,0.01749821920777972,0.06763497652582162,0.04256659786680067
0.7387304352828536,0.018466479325571994,0.00039878297344408953,0.060621698743245744,0.030510240858344917
0.7383485953051359,0.03109416954353661,0.0782659818058048,0.09360705394699725,0.08593651787640103
0.7688889088766764,0.030296330435215846,0.0001935855177104262,0.003833650248420528,0.002013617883065477
0.7638160239318064,0.04629452100704112,0.026076205462515434,0.012998852479918388,0.01953752897121691
0.7615708263195738,0.017236976506639357,0.01697219306037856,0.030400628436763555,0.023686410748571057
0.7689458214188487,0.0684681870248881,0.14870423693953105,0.027928515272957366,0.08831637610624421
0.7458970156120319,0.14426574389021052,0.27826268145301325,0.021115257234485763,0.1496889693437495
0.7508295058923522,0.06985767000527154,0.054119527791441246,0.0187374749498998,0.036428501370670524
0.7089257693937623,0.04520355881742022,0.017882187938288885,0.009870965115805763,0.013876576527047324
0.7231295810555733,0.08652360896573941,0.10677570093457944,0.04559836218127672,0.07618703155792808
0.7441684930894127,0.037222330325778596,0.008894799054373514,0.12319461847919277,0.06604470876678314
0.7721123345330323,0.09730719433655077,0.11035967873355834,0.05344701136780344,0.08190334505068089
0.7462454212454213,0.053712500645427874,0.019573826291563456,2.9651593773161178e-05,0.009801738942668309
0.723576855142474,0.014575497245587044,0.03129618695194536,0.08329519450800915,0.057295690729977256
0.7310406736273296,0.000799233744499861,0.00011449016100173459,0.11479958248209043,0.057457036321546084
0.7508272407955392,0.009436289720757496,0.021982845360343672,0.12677859235985484,0.07438071886009925
0.7154799222741706,0.0114472161870105,0.01058441832048207,0.0686291158971124,0.039606767108797236
0.7151725100442845,0.028713236547839305,0.011976642295791207,0.009941367880311414,0.01095900508805131
0.7156260275909775,0.054586882324778374,0.0357491760512727,0.028753276976349773,0.03225122651381124
0.729738674162734,0.008940794580481248,0.018959143348843188,0.04947497452408034,0.034217058936461764
0.711737089201878,0.015531305114638405,0.0053392140616824735,0.012402523693366474,0.008870868877524474
0.7188400537289764,0.05218502938844882,0.071279331404693,0.013503909026297056,0.04239162021549503
0.7629323409093832,0.05818165402672437,0.015335911434637639,0.01582232893157265,0.015579120183105144
0.7540787449182241,0.02097326537201416,0.012532416970726601,0.16129099811108177,0.08691170754090419
0.7539758610100409,0.023622486277522392,0.04514209715805684,0.15550178638084577,0.1003219417694513
0.7404300564424239,0.015050578640363743,0.015040523410932871,0.08910076581918774,0.05207064461506031
0.7756412391553918,0.05157903223382054,0.08597567696660169,0.2401094087991848,0.16304254288289324
0.794756383720415,0.010469692161218735,0.05575717089683596,0.1313295281981463,0.09354334954749113
0.7524815956107935,0.054444949265485376,0.07101135229697175,0.16268099716375573,0.11684617473036374
0.7840442038990341,0.00485527544351072,0.07526379633248226,0.07001494705077771,0.07263937169162998
0.7473637979454737,0.013199663988500698,0.08286601452151376,0.07430905377808028,0.07858753414979702
0.8013688381335441,0.004430813301781078,0.015798966390343727,0.11517241898679847,0.0654856926885711
0.7142122347598514,0.10055392000378349,0.10895878446487739,0.04662576687116565,0.07779227566802152
0.6680476011457496,0.1719240004175801,0.20537696573939235,0.08790158289020011,0.14663927431479623
0.7740450190262793,0.17270573588420746,0.07751454541380676,0.1955453872552318,0.13652996633451928
0.7803059713555047,0.12427870073060632,0.07322656961668605,0.057879484880381527,0.06555302724853379
0.707496226361918,0.04296659284319582,0.021944405385739607,0.012234298598971405,0.017089351992355506
0.6773431648626005,0.06838313863303336,0.02228686941631508,0.04716713240320053,0.034727000909757805
0.7270598344191557,0.0772491015073955,0.027799334175180768,0.04028754217590841,0.03404343817554459
0.7153265731710293,0.038015015002436425,0.0028236502096347094,0.006262430348953796,0.004543040279294253
0.7242409765661934,0.07599137197486605,0.051944068761132,0.022713506965475416,0.03732878786330371
0.6991943932486178,0.10271766303463492,0.07290925166907691,0.056778607168152306,0.06484392941861461
0.8015940496910734,0.08538093030443528,0.057408453165022966,0.030911996590666957,0.04416022487784496
0.8084645650424997,0.028386028079756542,0.016454949815224773,0.023096393567418383,0.019775671691321578
0.780559129341007,0.047472923233135234,0.017115125318065583,0.0054638632364462925,0.011289494277255938
0.7827268862455232,0.03558333219120191,0.05878902148660792,0.056020174560022895,0.057404598023315406
0.7610345157738523,0.04776442481720117,0.009619517128049537,0.020838432421663777,0.015228974774856657
0.7242148605652254,0.02045748799704067,4.164497657471733e-05,0.022119262258501637,0.011080453617538177
0.6727012173681084,0.053516886305434885,0.06277211946063421,0.03450713618780843,0.04863962782422132
0.6447775506562426,0.12334218645452644,0.15348051857857897,0.0054456961819348,0.07946310738025689
0.6768562577617065,0.05817868017619088,0.05087074560478555,0.011180486359519903,0.031025615982152727
0.7194078444461192,0.039841907869428206,0.017733807624005782,0.010673380902388563,0.014203594263197172
0.6992000865655599,0.0349129801155561,0.006137408146114298,0.0016539846826168492,0.0038956964143655737
0.6824074644802951,0.07008133213548418,0.09379987620292729,0.004477707223866034,0.04913879171339666
0.6853458278511741,0.05635610027142246,0.05760808712461307,0.0013557341052556904,0.02948191061493438
0.6299295712791793,0.09664721451365188,0.12722983203424731,0.020796429169310793,0.07401313060177905
0.6410488936583025,0.10157578625555308,0.15805045473303464,0.020958768140346473,0.08950461143669056
0.684341140326927,0.11525707067268787,0.09758472105229055,0.10577276208317082,0.10167874156773068
0.6750355913598959,0.1543060983788534,0.14770928575716313,0.13246846945163143,0.14008887760439728
0.7009005990670599,0.12007290654706243,0.12852782349930603,0.052241813602015075,0.09038481855066055
0.669246671828332,0.0807767457199825,0.0831020964973429,0.01565608127308893,0.049379088885215916
0.6478940525870025,0.13408007084360807,0.156340981065899,0.07597651164918057,0.11615874635753978
0.68945826888508,0.15360399433451505,0.17711858068729264,0.07322872217520476,0.1251736514312487
0.6854813381423246,0.1855322933579271,0.19733410861882367,0.0856555446095858,0.14149482661420473
0.7115356768972179,0.12347045006809454,0.11922077086604732,0.12789004690422873,0.12355540888513802
0.6446021765573782,0.10109657337597444,0.09095654642095874,0.11480666418448959,0.10288160530272417
0.6220199335969202,0.1326426513198395,0.15951090278709212,0.10081946416958532,0.13016518347833872
0.6444753523584161,0.19966217106547052,0.2063070389446101,0.1530234151201893,0.1796652270323997
0.608822594486111,0.10737446986171928,0.0916689963656695,0.07461727805538032,0.08314313721052491
0.6489248621401265,0.02244904235588019,0.0022668504558032154,0.016731774025705137,0.009499312240754176
0.6454756904081866,0.03194428698680063,0.03705018239179725,0.06264714326729831,0.04984866282954778
0.657763604088093,0.012220489780234378,0.006681553526945994,0.025598496993651243,0.01614002526029862
0.6824609092093965,0.08738822803002366,0.09756802074318771,0.012941610752828292,0.055254815748008
0.6234157742825708,0.16622483817123884,0.19287763241754352,0.07402585253323574,0.13345174247538963
0.6294341279139486,0.12906909848302112,0.1364763558942178,0.09840269933675094,0.11743952761548437
0.6650334024446851,0.20087554264769458,0.21930444996265624,0.12257843487452147,0.17094144241858886
0.6689821552277319,0.18684658246713948,0.2397584363865018,0.029491025575837715,0.13462473098116975
0.6735898748214019,0.14617752114695431,0.17795235078223254,0.07567466545322848,0.1268135081177305
0.6582478943138197,0.1737955185141657,0.21798002219755824,0.06601913767042855,0.1419995799339934
0.6431655444001084,0.15265604491297435,0.18562378715300282,0.07189758077660408,0.12876068396480345
0.6586269188442746,0.16972387961108193,0.19696981853191736,0.10209657302369779,0.14953319577780758
0.6608747988483143,0.17583521686766868,0.19153712004698797,0.11918954661192582,0.1553633333294569
0.6832776740838336,0.14636219204317935,0.1654831871932092,0.09236141705911377,0.1289223021261615
0.639953134222303,0.14474343270694062,0.17837392390628137,0.0625141991669822,0.12044406153663179
0.6503397637991175,0.15826588743590375,0.16915317877976266,0.09358606858471524,0.13136962368223895
0.6184983459124409,0.20672520476184075,0.240106805993003,0.08422836515988502,0.162167585576444
0.6502467057420688,0.14803497790345244,0.17922897910009233,0.04753945898971268,0.1133842190449025
0.6905222492085948,0.15608050693193248,0.189155906264945,0.06889686138273332,0.12902638382383916
0.7291532583972892,0.14840287637073957,0.1912320730060234,0.03592240300375471,0.11357723800488906
